#time =  2.1800250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  8.0000000E+00
  1.550597712E-02  1.783410148E+01  5.245183560E-01  1.094510263E+01  3.800358125E-04  7.928373050E-03  7.256914697E+00  5.095569578E-01  2.917053156E+00 -7.441981134E-01
  1.632332096E-02  1.877416433E+01  5.342173579E-01  1.114749130E+01  2.374228862E-04  8.814862263E-03  7.134628959E+00  5.532710855E-01  2.969532642E+00 -7.617772127E-01
  1.717148926E-02  1.974967973E+01  5.434764880E-01  1.134070118E+01  7.290132471E-05  9.778257626E-03  7.005589463E+00  5.982980890E-01  3.018274449E+00 -7.780826008E-01
  1.805163894E-02  2.076197832E+01  5.523203412E-01  1.152524549E+01 -1.148128562E-04  1.077695520E-02  6.872210036E+00  6.444852030E-01  3.063463637E+00 -7.932233354E-01
  1.896496994E-02  2.181244019E+01  5.607731553E-01  1.170163001E+01 -3.237610900E-04  1.175729787E-02  6.736636924E+00  6.916402020E-01  3.105265168E+00 -8.073319209E-01
  1.991272674E-02  2.290249668E+01  5.688590302E-01  1.187035763E+01 -5.608087700E-04  1.267963114E-02  6.599991773E+00  7.395901119E-01  3.143666811E+00 -8.205413511E-01
  2.089620002E-02  2.403363225E+01  5.766000767E-01  1.203188972E+01 -8.232005864E-04  1.349559820E-02  6.464109025E+00  7.881545826E-01  3.179002533E+00 -8.329456634E-01
  2.191672831E-02  2.520738641E+01  5.840194238E-01  1.218670893E+01 -1.108006703E-03  1.419312003E-02  6.330405029E+00  8.371597869E-01  3.211534089E+00 -8.446389580E-01
  2.297569973E-02  2.642535569E+01  5.911403910E-01  1.233530185E+01 -1.414504616E-03  1.478855435E-02  6.199733312E+00  8.864542515E-01  3.241388659E+00 -8.557081205E-01
  2.407455377E-02  2.768919571E+01  5.979854780E-01  1.247813800E+01 -1.742550815E-03  1.531057823E-02  6.072556376E+00  9.359086579E-01  3.268606339E+00 -8.662335831E-01
  2.521478318E-02  2.900062335E+01  6.045755092E-01  1.261565190E+01 -2.091600461E-03  1.578602606E-02  5.949099450E+00  9.854104528E-01  3.293197699E+00 -8.762931272E-01
  2.639793584E-02  3.036141890E+01  6.109290715E-01  1.274823142E+01 -2.460656694E-03  1.623064640E-02  5.829462405E+00  1.034853531E+00  3.315203882E+00 -8.859668257E-01
  2.762561679E-02  3.177342837E+01  6.170623787E-01  1.287621489E+01 -2.849152538E-03  1.664746536E-02  5.713671228E+00  1.084125650E+00  3.334747013E+00 -8.953398727E-01
  2.889949023E-02  3.323856585E+01  6.229896573E-01  1.299989916E+01 -3.258140574E-03  1.703387149E-02  5.601666488E+00  1.133100580E+00  3.352052779E+00 -9.044984504E-01
  3.022128169E-02  3.475881593E+01  6.287240358E-01  1.311955820E+01 -3.689961816E-03  1.739466480E-02  5.493260754E+00  1.181649359E+00  3.367420105E+00 -9.135120585E-01
  3.159278018E-02  3.633623625E+01  6.342787001E-01  1.323546715E+01 -4.142445421E-03  1.775059888E-02  5.388161758E+00  1.229697032E+00  3.381105216E+00 -9.223942349E-01
  3.301584048E-02  3.797296004E+01  6.396688973E-01  1.334794417E+01 -4.605536053E-03  1.811201785E-02  5.286891304E+00  1.277253451E+00  3.393401616E+00 -9.310471116E-01
  3.449238544E-02  3.967119890E+01  6.449121709E-01  1.345735534E+01 -5.086686931E-03  1.845574439E-02  5.188845235E+00  1.324250068E+00  3.404018828E+00 -9.396330281E-01
  3.602440846E-02  4.143324547E+01  6.500168060E-01  1.356387354E+01 -5.572542160E-03  1.869953750E-02  5.093356362E+00  1.370638757E+00  3.411992016E+00 -9.482601035E-01
  3.761397589E-02  4.326147640E+01  6.549923597E-01  1.366769822E+01 -6.084994478E-03  1.878349494E-02  5.002685566E+00  1.416195641E+00  3.418227901E+00 -9.569568971E-01
  3.926322970E-02  4.515835524E+01  6.598469440E-01  1.376899862E+01 -6.634020167E-03  1.871463625E-02  4.917991915E+00  1.460899398E+00  3.423757013E+00 -9.657833005E-01
  4.097439007E-02  4.712643551E+01  6.645874413E-01  1.386791838E+01 -7.221699798E-03  1.853272736E-02  4.839551664E+00  1.504805782E+00  3.429401795E+00 -9.747932827E-01
  4.274975816E-02  4.916836389E+01  6.692202791E-01  1.396459162E+01 -7.845922603E-03  1.827704208E-02  4.767030006E+00  1.547942111E+00  3.435541781E+00 -9.840050521E-01
  4.459171893E-02  5.128688342E+01  6.737527712E-01  1.405917094E+01 -8.503049410E-03  1.796033430E-02  4.699774976E+00  1.590245625E+00  3.442043980E+00 -9.933879172E-01
  4.650274407E-02  5.348483689E+01  6.781948199E-01  1.415186298E+01 -9.188911918E-03  1.755725498E-02  4.637092822E+00  1.631566175E+00  3.448409293E+00 -1.002873819E+00
  4.848539500E-02  5.576517031E+01  6.825603977E-01  1.424295931E+01 -9.897996290E-03  1.701402606E-02  4.578460216E+00  1.671738987E+00  3.454131683E+00 -1.012395506E+00
  5.054232598E-02  5.813093646E+01  6.868675666E-01  1.433283683E+01 -1.062177667E-02  1.628304870E-02  4.523638843E+00  1.710698752E+00  3.459149800E+00 -1.021939049E+00
  5.267628729E-02  6.058529856E+01  6.911347372E-01  1.442187970E+01 -1.134935910E-02  1.537818527E-02  4.472696215E+00  1.748539000E+00  3.464051480E+00 -1.031570148E+00
  5.489012856E-02  6.313153409E+01  6.953691891E-01  1.451023983E+01 -1.207751415E-02  1.443050584E-02  4.426026998E+00  1.785301282E+00  3.469311294E+00 -1.041343010E+00
  5.718680212E-02  6.577303866E+01  6.995626502E-01  1.459774461E+01 -1.282002075E-02  1.363453046E-02  4.387300180E+00  1.821462760E+00  3.476569087E+00 -1.051028509E+00
  5.956936657E-02  6.851333008E+01  7.037154715E-01  1.468440136E+01 -1.362179660E-02  1.267811622E-02  4.347706764E+00  1.856066981E+00  3.480546063E+00 -1.061132130E+00
  6.204099027E-02  7.135605245E+01  7.078310476E-01  1.477028091E+01 -1.448620497E-02  1.169938399E-02  4.310764991E+00  1.889336726E+00  3.482873715E+00 -1.072020828E+00
  6.460495514E-02  7.430498043E+01  7.119210287E-01  1.485562637E+01 -1.541782715E-02  1.072865905E-02  4.278639151E+00  1.921588289E+00  3.484178918E+00 -1.083683147E+00
  6.726466044E-02  7.736402365E+01  7.160019182E-01  1.494078213E+01 -1.641902851E-02  9.724665372E-03  4.251698470E+00  1.953052253E+00  3.484171317E+00 -1.095955014E+00
  7.002362667E-02  8.053723120E+01  7.200917301E-01  1.502612406E+01 -1.748336902E-02  8.656925204E-03  4.229763845E+00  1.983933640E+00  3.482721715E+00 -1.108675908E+00
  7.288549959E-02  8.382879624E+01  7.242067270E-01  1.511199153E+01 -1.859345547E-02  7.558695758E-03  4.212833205E+00  2.014425006E+00  3.480403738E+00 -1.121761107E+00
  7.585405442E-02  8.724306080E+01  7.283587399E-01  1.519863141E+01 -1.972461925E-02  6.534072536E-03  4.201051418E+00  2.044660269E+00  3.478306323E+00 -1.135166906E+00
  7.893320002E-02  9.078452062E+01  7.325536055E-01  1.528616549E+01 -2.085426420E-02  5.711462596E-03  4.193925412E+00  2.074617529E+00  3.477139890E+00 -1.148769693E+00
  8.212698327E-02  9.445783022E+01  7.367911443E-01  1.537459004E+01 -2.197341541E-02  5.157064681E-03  4.189315374E+00  2.104021724E+00  3.476127965E+00 -1.162272221E+00
  8.543959357E-02  9.826780800E+01  7.410667227E-01  1.546380835E+01 -2.309080712E-02  4.804842187E-03  4.183753652E+00  2.132376425E+00  3.473058613E+00 -1.175422279E+00
  8.887536740E-02  1.022194415E+02  7.453735982E-01  1.555367975E+01 -2.420913475E-02  4.536562539E-03  4.177449344E+00  2.159388667E+00  3.468403866E+00 -1.189126397E+00
  9.243879306E-02  1.063178930E+02  7.497103038E-01  1.564417360E+01 -2.533595955E-02  4.344555323E-03  4.177359977E+00  2.185583183E+00  3.470376327E+00 -1.204297802E+00
  9.613451542E-02  1.105685047E+02  7.540770001E-01  1.573529327E+01 -2.647533305E-02  4.292799587E-03  4.162494403E+00  2.207649367E+00  3.456752850E+00 -1.217136269E+00
  9.996734094E-02  1.149768047E+02  7.584913961E-01  1.582740829E+01 -2.762250360E-02  4.851991895E-03  4.145601075E+00  2.226482789E+00  3.437421056E+00 -1.231095314E+00
  1.039422426E-01  1.195485128E+02  7.629927149E-01  1.592133712E+01 -2.882251808E-02  5.838938529E-03  4.131893751E+00  2.243298876E+00  3.419178699E+00 -1.245187547E+00
  1.080643653E-01  1.242895461E+02  7.676139202E-01  1.601776762E+01 -3.003991135E-02  6.862613937E-03  4.122688076E+00  2.258470877E+00  3.401864203E+00 -1.258534670E+00
  1.123390307E-01  1.292060255E+02  7.723728235E-01  1.611707145E+01 -3.122528747E-02  7.466728338E-03  4.117994954E+00  2.272049446E+00  3.382909209E+00 -1.270735040E+00
  1.167717431E-01  1.343042816E+02  7.772690916E-01  1.621924167E+01 -3.236227458E-02  7.277762346E-03  4.118235725E+00  2.284095355E+00  3.360605961E+00 -1.281971482E+00
  1.213681945E-01  1.395908611E+02  7.822891036E-01  1.632399405E+01 -3.348207088E-02  6.134613696E-03  4.124483571E+00  2.294734487E+00  3.335310961E+00 -1.292805400E+00
  1.261342705E-01  1.450725333E+02  7.874188331E-01  1.643103591E+01 -3.463819922E-02  4.167465671E-03  4.137011008E+00  2.303917655E+00  3.308282533E+00 -1.303692256E+00
  1.310760559E-01  1.507562964E+02  7.926610592E-01  1.654042522E+01 -3.584833441E-02  1.785586053E-03  4.152939053E+00  2.311035652E+00  3.279006368E+00 -1.314423093E+00
  1.361998402E-01  1.566493845E+02  7.980459412E-01  1.665279133E+01 -3.703908427E-02 -4.712987277E-04  4.165911874E+00  2.314863039E+00  3.244144857E+00 -1.323985902E+00
  1.415121241E-01  1.627592742E+02  8.036114171E-01  1.676892588E+01 -3.808225036E-02 -2.261964066E-03  4.174672615E+00  2.314871962E+00  3.205316729E+00 -1.331807068E+00
  1.470196249E-01  1.690936914E+02  8.093092099E-01  1.688782149E+01 -3.910038189E-02 -3.983088040E-03  4.214320240E+00  2.315900997E+00  3.199746086E+00 -1.342050163E+00
  1.527292828E-01  1.756606184E+02  8.151820019E-01  1.701036879E+01 -3.972867598E-02 -4.757808043E-03  4.176109230E+00  2.301658262E+00  3.125909103E+00 -1.344622462E+00
  1.586482671E-01  1.824683007E+02  8.212042527E-01  1.713603485E+01 -4.048306129E-02 -6.475743478E-03  4.145954684E+00  2.281126053E+00  3.042398809E+00 -1.346218155E+00
  1.647839823E-01  1.895252547E+02  8.273732001E-01  1.726476201E+01 -4.112411523E-02 -8.025533345E-03  4.120320621E+00  2.259440624E+00  2.956113381E+00 -1.345488220E+00
  1.711440742E-01  1.968402741E+02  8.337046259E-01  1.739687961E+01 -4.152035224E-02 -8.535053555E-03  4.091435182E+00  2.236836798E+00  2.865558731E+00 -1.340880700E+00
  1.777364365E-01  2.044224380E+02  8.402151415E-01  1.753273427E+01 -4.165837031E-02 -7.633988701E-03  4.056782886E+00  2.212065687E+00  2.771268736E+00 -1.331774907E+00
  1.845692172E-01  2.122811174E+02  8.469153514E-01  1.767254727E+01 -4.158858023E-02 -5.441104440E-03  4.017660383E+00  2.184186185E+00  2.676357721E+00 -1.318431162E+00
  1.916508245E-01  2.204259833E+02  8.538072736E-01  1.781636072E+01 -4.137244259E-02 -2.412951372E-03  3.976405745E+00  2.153405367E+00  2.585070795E+00 -1.301664015E+00
  1.989899338E-01  2.288670134E+02  8.608871576E-01  1.796409637E+01 -4.103986290E-02  9.304027533E-04  3.932688856E+00  2.120701087E+00  2.499563979E+00 -1.282226271E+00
  2.065954936E-01  2.376144999E+02  8.681531745E-01  1.811571604E+01 -4.056564974E-02  4.312009473E-03  3.880315521E+00  2.086375827E+00  2.416421644E+00 -1.260012058E+00
  2.144767323E-01  2.466790567E+02  8.756140299E-01  1.827140139E+01 -3.987142330E-02  7.812757265E-03  3.807982991E+00  2.048547686E+00  2.326729270E+00 -1.233419292E+00
  2.226431641E-01  2.560716266E+02  8.832883159E-01  1.843154040E+01 -3.885185935E-02  1.134644767E-02  3.710890786E+00  2.004144578E+00  2.227425230E+00 -1.199623124E+00
  2.311045957E-01  2.658034886E+02  8.911738579E-01  1.859608768E+01 -3.740829629E-02  1.268983549E-02  3.625899071E+00  1.957614171E+00  2.157961925E+00 -1.157200867E+00
  2.398711325E-01  2.758862655E+02  8.991741066E-01  1.876302853E+01 -3.553572666E-02  9.340512029E-03  3.504214037E+00  1.892672087E+00  2.062970274E+00 -1.112518022E+00
  2.489531845E-01  2.863319301E+02  9.073196592E-01  1.893300144E+01 -3.345004954E-02  5.861709485E-03  3.281885710E+00  1.802024175E+00  1.877844235E+00 -1.061611720E+00
  2.583614725E-01  2.971528130E+02  9.155575542E-01  1.910490125E+01 -3.106341619E-02  9.466342642E-04  3.076615024E+00  1.715084102E+00  1.728503919E+00 -1.002934538E+00
  2.681070340E-01  3.083616089E+02  9.238063002E-01  1.927702749E+01 -2.835691738E-02 -4.056041504E-03  2.868956237E+00  1.626462015E+00  1.594142121E+00 -9.382489330E-01
  2.782012288E-01  3.199713832E+02  9.319976613E-01  1.944795628E+01 -2.537435711E-02 -7.983634631E-03  2.647016585E+00  1.535147234E+00  1.462988211E+00 -8.689309012E-01
  2.886557447E-01  3.319955786E+02  9.400662818E-01  1.961632384E+01 -2.218311988E-02 -1.018852052E-02  2.407807852E+00  1.442275784E+00  1.331170637E+00 -7.960868400E-01
  2.994826028E-01  3.444480209E+02  9.479406823E-01  1.978063863E+01 -1.884601542E-02 -1.068019889E-02  2.156480383E+00  1.349093165E+00  1.200270019E+00 -7.206907145E-01
  3.106941622E-01  3.573429250E+02  9.555373698E-01  1.993915839E+01 -1.541066847E-02 -1.001874699E-02  1.902996581E+00  1.255533605E+00  1.073802158E+00 -6.437001116E-01
  3.223031253E-01  3.706949005E+02  9.627595652E-01  2.008986364E+01 -1.191953797E-02 -8.953007433E-03  1.656630238E+00  1.159873871E+00  9.534585229E-01 -5.661113532E-01
  3.343225416E-01  3.845189561E+02  9.695010797E-01  2.023053854E+01 -8.435266968E-03 -7.913638218E-03  1.420418852E+00  1.059857831E+00  8.369157519E-01 -4.889406594E-01
  3.467658122E-01  3.988305050E+02  9.756536510E-01  2.035892399E+01 -5.059749618E-03 -6.685785797E-03  1.190885751E+00  9.554470547E-01  7.205933148E-01 -4.131882721E-01
  3.596466930E-01  4.136453686E+02  9.811118241E-01  2.047281946E+01 -1.896632524E-03 -4.950589962E-03  9.737366779E-01  8.528122099E-01  6.131515477E-01 -3.399775589E-01
  3.729792981E-01  4.289797800E+02  9.857810728E-01  2.057025248E+01  1.118114128E-03 -4.691857830E-03  8.187489636E-01  7.634324643E-01  5.528115534E-01 -2.716105261E-01
  3.867781024E-01  4.448503875E+02  9.898596113E-01  2.065535917E+01  3.651277250E-03 -3.171810016E-03  5.849037762E-01  6.349332584E-01  3.808907743E-01 -2.146541415E-01
