#time =  3.8000250E+02
#  y  y+  u  u+  v+  w+ uu+ vv+ ww+ uv+


#x =  1.0000000E+00
  1.110223025E-15  9.840743592E-13  1.999211679E-14  4.920128017E-13 -1.233455421E-19  5.520954426E-15 -3.742786343E-19  6.650431072E-20  1.356671013E-18 -1.923924223E-19
  2.315738055E-04  2.052613207E-01  8.340532536E-03  2.052633457E-01  2.554913657E-07  2.303208375E-03  7.163210253E-03  1.865981776E-07  2.797100738E-03 -7.444432420E-06
  4.719096756E-04  4.182891197E-01  1.699682006E-02  4.182975290E-01  1.158899246E-06  4.693387100E-03  2.964368361E-02  2.526454494E-06  1.110228328E-02 -6.279445523E-05
  7.213386952E-04  6.393768626E-01  2.598006371E-02  6.393782142E-01  2.783525779E-06  7.173444297E-03  6.904392934E-02  1.253008472E-05  2.476606077E-02 -2.267421080E-04
  9.802044256E-04  8.688290737E-01  3.530119204E-02  8.687743562E-01  5.227995079E-06  9.746089908E-03  1.271172956E-01  3.964009422E-05  4.360849633E-02 -5.762712356E-04
  1.248863372E-03  1.106961750E+00  4.497060487E-02  1.106741898E+00  8.615508865E-06  1.241379139E-02  2.057530510E-01  9.749279959E-05  6.741785058E-02 -1.206666294E-03
  1.527685466E-03  1.354102791E+00  5.499785905E-02  1.353516038E+00  1.309359816E-05  1.517874013E-02  3.069478936E-01  2.041061222E-04  9.594955066E-02 -2.233189966E-03
  1.817054573E-03  1.610592444E+00  6.539129158E-02  1.609301952E+00  1.883514530E-05  1.804283356E-02  4.327603393E-01  3.819899098E-04  1.289258138E-01 -3.792195121E-03
  2.117369010E-03  1.876783768E+00  7.615757793E-02  1.874263925E+00  2.604157874E-05  2.100767668E-02  5.852444153E-01  6.581802040E-04  1.660363320E-01 -6.041393404E-03
  2.429042085E-03  2.153043110E+00  8.730122757E-02  2.148512937E+00  3.494911609E-05  2.407460370E-02  7.663595806E-01  1.064203300E-03  2.069404381E-01 -9.158974002E-03
  2.752502662E-03  2.439750602E+00  9.882402442E-02  2.432092891E+00  4.583859120E-05  2.724471375E-02  9.778552045E-01  1.635975694E-03  2.512710661E-01 -1.334126870E-02
  3.088195738E-03  2.737300682E+00  1.107244290E-01  2.724965900E+00  5.904850165E-05  3.051890279E-02  1.221130880E+00  2.413636873E-03  2.986404697E-01 -1.879871910E-02
  3.436583048E-03  3.046102617E+00  1.229969710E-01  3.026997337E+00  7.498906957E-05  3.389785319E-02  1.497079285E+00  3.441284533E-03  3.486469150E-01 -2.575005799E-02
  3.798143689E-03  3.366581069E+00  1.356316516E-01  3.337941130E+00  9.413541093E-05  3.738193747E-02  1.805927844E+00  4.766543284E-03  4.008809686E-01 -3.441504637E-02
